state,url,wiki_state
Alabama,https://en.wikipedia.org/wiki/Alabama,Alabama
Alaska,https://en.wikipedia.org/wiki/Alaska,Alaska
Arizona,https://en.wikipedia.org/wiki/Arizona,Arizona
Arkansas,https://en.wikipedia.org/wiki/Arkansas,Arkansas
California,https://en.wikipedia.org/wiki/California,California
Colorado,https://en.wikipedia.org/wiki/Colorado,Colorado
Connecticut,https://en.wikipedia.org/wiki/Connecticut,Connecticut
Delaware,https://en.wikipedia.org/wiki/Delaware,Delaware
Florida,https://en.wikipedia.org/wiki/Florida,Florida
Georgia,https://en.wikipedia.org/wiki/Georgia_(U.S._state),Georgia (U.S. state)
Hawaii,https://en.wikipedia.org/wiki/Hawaii,Hawaii
Idaho,https://en.wikipedia.org/wiki/Idaho,Idaho
Illinois,https://en.wikipedia.org/wiki/Illinois,Illinois
Indiana,https://en.wikipedia.org/wiki/Indiana,Indiana
Iowa,https://en.wikipedia.org/wiki/Iowa,Iowa
Kansas,https://en.wikipedia.org/wiki/Kansas,Kansas
Kentucky,https://en.wikipedia.org/wiki/Kentucky,Kentucky
Louisiana,https://en.wikipedia.org/wiki/Louisiana,Louisiana
Maine,https://en.wikipedia.org/wiki/Maine,Maine
Maryland,https://en.wikipedia.org/wiki/Maryland,Maryland
Massachusetts,https://en.wikipedia.org/wiki/Massachusetts,Massachusetts
Michigan,https://en.wikipedia.org/wiki/Michigan,Michigan
Minnesota,https://en.wikipedia.org/wiki/Minnesota,Minnesota
Mississippi,https://en.wikipedia.org/wiki/Mississippi,Mississippi
Missouri,https://en.wikipedia.org/wiki/Missouri,Missouri
Montana,https://en.wikipedia.org/wiki/Montana,Montana
Nebraska,https://en.wikipedia.org/wiki/Nebraska,Nebraska
Nevada,https://en.wikipedia.org/wiki/Nevada,Nevada
New Hampshire,https://en.wikipedia.org/wiki/New_Hampshire,New Hampshire
New Jersey,https://en.wikipedia.org/wiki/New_Jersey,New Jersey
New Mexico,https://en.wikipedia.org/wiki/New_Mexico,New Mexico
New York,https://en.wikipedia.org/wiki/New_York_(state),New York (state)
North Carolina,https://en.wikipedia.org/wiki/North_Carolina,North Carolina
North Dakota,https://en.wikipedia.org/wiki/North_Dakota,North Dakota
Ohio,https://en.wikipedia.org/wiki/Ohio,Ohio
Oklahoma,https://en.wikipedia.org/wiki/Oklahoma,Oklahoma
Oregon,https://en.wikipedia.org/wiki/Oregon,Oregon
Pennsylvania,https://en.wikipedia.org/wiki/Pennsylvania,Pennsylvania
Rhode Island,https://en.wikipedia.org/wiki/Rhode_Island,Rhode Island
South Carolina,https://en.wikipedia.org/wiki/South_Carolina,South Carolina
South Dakota,https://en.wikipedia.org/wiki/South_Dakota,South Dakota
Tennessee,https://en.wikipedia.org/wiki/Tennessee,Tennessee
Texas,https://en.wikipedia.org/wiki/Texas,Texas
Utah,https://en.wikipedia.org/wiki/Utah,Utah
Vermont,https://en.wikipedia.org/wiki/Vermont,Vermont
Virginia,https://en.wikipedia.org/wiki/Virginia,Virginia
Washington,https://en.wikipedia.org/wiki/Washington_(state),Washington (state)
West Virginia,https://en.wikipedia.org/wiki/West_Virginia,West Virginia
Wisconsin,https://en.wikipedia.org/wiki/Wisconsin,Wisconsin
Wyoming,https://en.wikipedia.org/wiki/Wyoming,Wyoming